

==================== CO1 ====================
[2M | Remember | 1 (Easy)] What is DBMS?
[2M | Understand | 1 (Easy)] What is the role of Storage Management?
[2M | Remember | 1 (Easy)] What is a Database?
[2M | Understand | 1 (Easy)] What is a Query processor?
[2M | Understand | 1 (Easy)] What is schema?
[2M | Understand | 2 (Average)] Differentiate between instance and schema.
[2M | Remember | 1 (Easy)] Mention the components in a relational Data Model.
[2M | Analyze | 1 (Easy)] How does a database differ from a spreadsheet?
[2M | Understand | 1 (Easy)] What are the characteristics of a database?
[2M | Apply | 2 (Average)] How do the characteristics of databases ensure data integrity?
[2M | Remember | 1 (Easy)] Who are the primary users of a database system?
[2M | Analyze | 2 (Average)] How do database users differ in their roles and permissions?
[2M | Analyze | 2 (Average)] What is the role of a Database Administrator (DBA)?
[2M | Understand | 2] How does a DBA ensure the smooth operation of a database system?
[2M | Remember | 1] What are the different types of data models in DBMS?
[2M | Understand | 2] How do relational and hierarchical data models differ?
[2M | Understand | 2] How does the concept of a database relate to data management in organizations?
[2M | Understand | 3] How do the characteristics of a database relate to its efficiency and reliability?
[2M | Analyze | 3] What assumptions are we making about the necessity of databases in modern organizations?
[2M | Analyze | 3] What assumptions are we making about data models being universally applicable across domains?
[2M | Understand | 2] Give an example to support the need for a Database Administrator (DBA)?
[2M | Understand | 1] Give an example of a real-world application of the relational data model?
[2M | Understand | 2] How does implementing a DBMS system affect the efficiency of data retrieval compared to a file system?
[5M | Understand | 2 (Average)] State the applications of DBMS.
[5M | Understand | 2 (Average)] What are the functions of Transaction Management module?
[5M | Understand | 2 (Average)] Differentiate between data, information and knowledge.
[5M | Understand | 1 (Easy)] What do you mean by Data Redundancy? Give an example.
[5M | Understand | 1 (Easy)] What do you mean by Data Inconsistency? Give an example.
[5M | Understand | 2 (Average)] What do you mean by Data Integrity? Give an example.
[5M | Analyze | 2 (Average)] Differentiate between SQL and NoSQL.
[5M | Understand | 1 (Easy)] How would you describe the role of databases in modern applications?
[5M | Apply | 2 (Average)] What are the core components of a database, and how do they interact?
[5M | Analyze | 2 (Average)] Why is a structured database more effective than an unstructured storage system?
[5M | Analyze | 2 (Average)] How would you identify database characteristics in a real-world application?
[5M | Analyze | 2 (Average)] What are the implications of missing any key characteristic of a database system?
[5M | Evaluate | 3 (Difficult)] Which characteristic of a database is most critical for enterprise systems? Why?
[5M | Analyze | 2 (Average)] What is the difference between a file system and a database system?
[5M | Analyze | 2 (Average)] How does a database system overcome the limitations of a file system?
[5M | Evaluate | 3 (Difficult)] How would you choose between a file system and a database system for an application?
[5M | Analyze | 2 (Average)] What are the key differences between file systems and database systems in terms of scalability?
[5M | Evaluate | 3 (Difficult)] Which system—file system or database system—offers better data security? Justify your answer.
[5M | Apply | 2 (Average)] How would you allocate user roles in a database system for an organization?
[5M | Analyze | 2 (Average)] What are the potential conflicts between different users of a database system?
[5M | Evaluate | 3 (Difficult)] Which type of database user requires the most robust security measures? Why?
[5M | Understand | 1 (Easy)] What is the architecture of a DBMS?
[5M | Analyze | 2 (Average)] How does the architecture of a DBMS support its functionality?
[5M | Apply | 2 (Average)] How would you illustrate the three-tier architecture of a DBMS?
[5M | Analyze | 2 (Average)] What are the components of a DBMS architecture, and how do they interact?
[5M | Evaluate | 3 (Difficult)] Which DBMS architecture—single-tier, two-tier, or three-tier—is most effective for scalability? Why?
[5M | Analyze | 3] What are the challenges a DBA faces in managing large-scale databases?
[5M | Evaluate | 2] Which skill set is most crucial for a DBA? Justify your answer.
[5M | Apply | 3] How would you choose an appropriate data model for a specific application?
[5M | Understand | 3] What are the advantages and disadvantages of each data model?
[5M | Evaluate | 3] Which data model is best suited for modern web applications? Why?
[5M | Analyze | 3] What else could we assume about the future evolution of database management systems?
[5M | Evaluate | 2] What evidence supports the claim that DBAs are crucial for database security and maintenance?
[5M | Evaluate | 3] What evidence supports the preference for object-oriented data models in modern applications?
[5M | Analyze | 3] What do you think causes the continued relevance of hierarchical models in certain domains?
[5M | Analyze | 2] Why is a DBMS considered more efficient for handling large data sets compared to traditional methods?
[5M | Evaluate | 2] How do you know that implementing a DBMS improves data retrieval speed?
[5M | Evaluate | 2] What evidence supports the reasoning that DBMS reduces data redundancy?
[5M | Analyze | 3] How does the hierarchical data model compare with the relational data model in terms of usability?
[5M | Evaluate | 3] Why is the relational data model considered better than the network data model for modern systems?
[5M | Analyze | 3] How does the role of a DBA in a centralized DBMS differ from that in a distributed DBMS?
[5M | Evaluate | 3] Justify that hierarchical models are still relevant despite the dominance of relational models?
[5M | Evaluate | 3] Justify that one may prefer a network data model over an object-oriented data model in specific cases?
[5M | Analyze | 2] What are the implications of using a relational data model in DBMS design?
[5M | Analyze | 3] What are the implications of using a centralized DBMS architecture for data security?
[5M | Analyze | 3] How does implementing a distributed DBMS system affect data consistency?
[5M | Analyze | 3] How does the choice of a data model affect the scalability of the database system?
[5M | Understand | 3] How does the structure of a database (e.g., hierarchical vs. relational) influence its flexibility in handling data updates?
[5M | Understand | 3] What are the real-world applications of data models in the healthcare industry for managing patient information?
[5M | Apply | 3] How can the concept of relational database systems be used to optimize search queries in an online retail platform?
[10M | Analyze | 2 (Average)] What are the differences between DBMS and conventional flat file system?
[10M | Analyze | 3 (Difficult)] Explain the architecture of DBMS with diagram.
[10M | Understand | 2 (Average)] Differentiate between 2-Tier and 3 Tier Architecture of DBMS.
[10M | Understand | 3 (Difficult)] Write a note on the different Data models with appropriate Diagrams.
[10M | Understand | 1 (Easy)] Explain the role of a DBA.
[10M | Understand | 1 (Easy)] Explain the different types of Database users with examples.
[10M | Analyze | 2 (Average)] Explain the different levels of abstraction in a database.
[10M | Create | 3 (Difficult)] Can you design a basic scenario where a database improves efficiency?
[10M | Create | 3 (Difficult)] Can you design a database user structure for a small business?
[10M | Create | 3 (Difficult)] Can you design a DBMS architecture for a cloud-based application?
[10M | Apply | 3] Can you outline a day-to-day task plan for a DBA in a multinational corporation?
[10M | Evaluate | 3] What would happen if we changed the assumption that databases must be centralized?
[10M | Evaluate | 3] What are the implications of data models for ensuring data consistency and integrity?
[10M | Evaluate | 3] How can we measure the impact of introducing a new data model (e.g., NoSQL) on an existing relational database system?
[10M | Understand | 3] What theoretical limitations exist in applying NoSQL databases to complex, relational data structures?
[10M | Evaluate | 3] What might be the consequences of assuming that a single database model is sufficient for all applications?


==================== CO2 ====================
[2M | Remember | 1] What is ER Model?
[2M | Remember | 1] What are tuples and attributes in relational database?
[2M | Understand | 1] Give any two benefits of a data model.
[2M | Remember | 1] What is a derived attribute?
[2M | Remember | 1] What is a Foreign Key?
[2M | Remember | 1] What is a primary key?
[2M | Understand | 1] What is a Candidate key?
[2M | Remember | 1 (Easy)] Define an entity. What are its types?
[2M | Remember | 1 (Easy)] What is an attribute? List its types.
[2M | Remember | 1 (Easy)] What are the key components of an ER diagram?
[2M | Understand | 1 (Easy)] What is the rationale behind using primary keys to identify records uniquely in a relational model?
[2M | Remember | 1 (Easy)] What is the primary purpose of an ER diagram?a) Data Storage b) Data Representation c) Network Modeling d) Program Execution
[2M | Understand | 1 (Easy)] Which of the following is NOT a type of key in the relational model? a) Primary Key b) Composite Key c) Algorithmic Key d) Candidate Key
[2M | Apply | 2 (Average)] Generalization in the Extended ER model is used for: a) Combining lower-level entities into higher-level entities b) Breaking attributes into entities c) Ensuring referential integrity d) Identifying duplicate records
[2M | Remember | 1 (Easy)] Which of the following is NOT a component of an ER diagram? a) Entities b) Relationships c) Attributes d) Pointers
[2M | Understand | 1 (Easy)] A candidate key is defined as: a) A key chosen as the primary key b) A minimal superkey c) A key used for indexing d) A foreign key in another table
[2M | Analyze | 2 (Average)] What does Codd’s Rule 5 emphasize in relational databases? a) Physical data independence b) Logical data independence c) Comprehensive data retrieval d) Uniform data integrity
[2M | Understand | 1 (Easy)] Aggregation in ER diagrams is represented by: a) Dashed lines b) Rectangles within rectangles c) Ellipses with arrows d) Relationships involving relationships
[2M | Understand | 2 (Average)] In the relational model, the term “domain” refers to: a) A set of valid values for an attribute b) A collection of tables c) A subset of records in a table d) A group of related attributes
[2M | Apply | 2 (Average)] What is the purpose of mapping ER diagrams to relational models? a) To improve database performance b) To create physical storage structures c) To convert conceptual designs to logical schemas d) To ensure data security
[2M | Analyze | 3 (Difficult)] Which relationship type in an ER diagram would likely use a foreign key for its implementation? a) One-to-One b) Many-to-Many c) One-to-Many d) Recursive
[5M | Understand | 2] Explain DDL and DML commands with examples.
[5M | Understand | 2] Explain different types of keys.
[5M | Understand | 3] Explain Specialization and Generalization with suitable example
[5M | Understand | 2] What do you understand by cardinality? What are its different types?
[5M | Understand | 2] Justify: All candidate keys are super keys, but all super keys are not candidate keys.
[5M | Understand | 2] Explain the following terms with an example:-
a. Composite Attribute
b.  Weak Entity.
[5M | Understand | 3] Define the concept of aggregation. Give two examples of where this concept is useful.
[5M | Understand | 2 (Average)] Explain the difference between strong and weak entities with examples.
[5M | Understand | 2 (Average)] What are the different types of relationships in the ER model? Illustrate with examples.
[5M | Remember | 1 (Easy)] List and explain the types of keys in a relational model.
[5M | Understand | 2 (Average)] Discuss Codd’s rules for relational databases.
[5M | Analyze | 3 (Difficult)] Explain aggregation in EER diagrams and its use in complex databases.
[5M | Analyze | 2 (Average)] Differentiate between composite key and super key with examples.
[5M | Analyze | 2 (Average)] Why is it necessary to have different types of attributes in an ER model? Discuss its assumptions.
[5M | Evaluate | 2 (Average)] Are all relationships in an ER model equally important? Justify your answer with examples.
[5M | Analyze | 3 (Difficult)] What assumptions are made about data redundancy when creating keys in relational models? Discuss.
[5M | Evaluate | 3 (Difficult)] Is the concept of aggregation always necessary in EER diagrams? Justify your reasoning.
[5M | Analyze | 2 (Average)] Are composite keys always the best choice for identifying data uniquely? Discuss with examples.
[5M | Analyze | 2 (Average)] How would the absence of foreign keys impact relational database design? Discuss assumptions made.
[5M | Analyze | 2 (Average)] If an attribute is always NULL, should it be included in the ER model? Challenge this assumption.
[5M | Analyze | 2 (Average)] How does the assumption of data integrity influence the selection of keys in a relational model?
[5M | Analyze | 2 (Average)] Why is it essential to define attributes with specific types in an ER model? Provide supporting evidence.
[5M | Apply | 2 (Average)] Explain why generalization and specialization are needed in the EER model with real-life examples.
[5M | Evaluate | 2 (Average)] Justify the use of composite keys instead of single attributes as keys in certain database designs.
[5M | Understand | 2 (Average)] Why is it necessary to convert an ER model into a relational model? Provide reasons and examples.
[5M | Analyze | 2 (Average)] Provide reasons why aggregation is an important concept in EER diagrams. Illustrate with examples.
[5M | Apply | 2 (Average)] What is the reasoning behind defining different types of relationships (1:1, 1:N, N:M) in the ER model?
[5M | Analyze | 2 (Average)] Justify the importance of maintaining minimal redundancy while designing a relational database.
[5M | Evaluate | 2 (Average)] Provide evidence supporting the claim that well-designed keys improve query performance in relational databases.
[5M | Understand | 1 (Easy)] What are the justifications for enforcing integrity constraints in a relational database?
[5M | Analyze | 2 (Average)] Compare and contrast strong and weak entities in the ER model. Under what circumstances is each type more appropriate?
[5M | Evaluate | 2 (Average)] Discuss the advantages and disadvantages of using composite attributes versus multivalued attributes in an ER diagram.
[5M | Analyze | 2 (Average)] Examine the differences in viewpoint between a database administrator and a system designer when defining keys in the relational model.
[5M | Apply | 2 (Average)] Why might a database designer prefer using specialization over generalization in an EER diagram? Discuss the perspective of system scalability.
[5M | Apply | 2 (Average)] From a user perspective, why is it essential to map EER diagrams effectively to the relational model? Provide an example to support your argument.
[5M | Analyze | 2 (Average)] In the context of the relational model, compare the perspectives on referential integrity between a small startup and a large enterprise organization.
[5M | Apply | 2 (Average)] How might the perspective of a developer using the database differ from that of a database administrator regarding entity-relationship mapping?
[5M | Understand | 1 (Easy)] From an academic viewpoint, why are aggregation and generalization important concepts? How might their relevance vary in industry applications?
[5M | Analyze | 2 (Average)] Examine the differing viewpoints on the need for a detailed ER diagram between a project manager and a system developer.
[5M | Analyze | 2 (Average)] What could be the consequences of incorrectly identifying the relationship types (1:1, 1:N, M:N) in an ER diagram for a business application?
[5M | Evaluate | 3 (Difficult)] If an ER diagram is overly complex, how might it impact the development and maintenance of a database? Discuss the long-term implications.
[5M | Analyze | 2 (Average)] Analyze the impact of generalization versus specialization decisions on the extensibility of a database system.
[5M | Apply | 2 (Average)] What are the consequences of not incorporating aggregation in a database design when dealing with complex relationships?
[5M | Analyze | 2 (Average)] Discuss the impact of misinterpreting weak entities in the ER model on real-world applications such as banking systems.
[5M | Apply | 2 (Average)] What could be the long-term effects of not defining primary and foreign keys correctly in the relational model?
[5M | Understand | 1 (Easy)] What might be the consequences of defining unnecessary attributes for entities in the ER model? Consider storage and query efficiency.
[5M | Analyze | 2 (Average)] How might a poorly designed ER diagram influence the development time and cost of a database system for a small-scale enterprise?
[5M | Analyze | 2 (Average)] Analyze how the choice of entity types and their attributes in an ER model can influence the performance of a database system. Reflect on potential pitfalls.
[5M | Analyze | 2 (Average)] Analyze the implications of overcomplicating an ER diagram with unnecessary relationships and attributes. Reflect on its effect on development time and system clarity.
[5M | Evaluate | 2 (Average)] Reflect on the ethical considerations of database design when modeling sensitive data like healthcare or financial records in an ER model.
[5M | Analyze | 2 (Average)] Discuss how poor understanding of weak entity sets could lead to critical errors in the design of an ER model. Reflect on ways to avoid such errors.
[5M | Analyze | 2 (Average)] Reflect on how an overly simplistic ER diagram might fail to capture the complexities of real-world business processes. Discuss the implications.
[5M | Evaluate | 2 (Average)] Reflect on the role of aggregation in representing complex interactions in a multi-organization database system. What could happen if it’s overlooked?
[5M | Understand | 2 (Average)] Explain the differences between strong and weak entities in an ER model. Provide suitable examples for each.
[5M | Remember | 1 (Easy)] Define attributes and describe the different types of attributes in an ER model. How do they affect database design?
[5M | Understand | 2 (Average)] What are relationship types in an ER model? Explain the concepts of one-to-one, one-to-many, and many-to-many relationships with examples.
[5M | Understand | 1 (Easy)] Explain the structure of a relational database. How do the concepts of tables, rows, and columns relate to the ER model?
[5M | Analyze | 2 (Average)] Compare and contrast composite attributes and multivalued attributes in an ER model. How are they represented in a relational database?
[5M | Understand | 2 (Average)] What are the implications of failing to enforce referential integrity in a relational database? Provide examples to support your answer.
[5M | Understand | 2 (Average)] Describe the concept of aggregation in an Extended ER model. How does it differ from a regular relationship, and why is it used?
[5M | Understand | 2 (Average)] Explain the importance of identifying entity sets and their types during the ER modeling phase. How does this step impact database design?
[5M | Understand | 2 (Average)] Define the concept of derived attributes in an ER model. How are derived attributes handled in the relational model?
[5M | Analyze | 2 (Average)] Reflect on a real-life scenario where you interacted with a database-driven application. How do you think the underlying ER model was designed?
[5M | Evaluate | 2 (Average)] Consider a situation where incorrect relationships between entities could lead to real-world issues. Share an example and discuss possible solutions.
[5M | Understand | 1 (Easy)] Reflect on a database application you find particularly user-friendly. How might its ER or relational model contribute to its ease of use?
[5M | Apply | 2 (Average)] Think about a situation where generalization and specialization could simplify managing complex data. Share an example from your own experience.
[5M | Understand | 1 (Easy)] Think about how the relational model enforces integrity through keys. Can you recall an instance where this principle improved data accuracy?
[5M | Analyze | 2 (Average)] Reflect on how the principles of database design could be applied to non-database systems, such as organizing files on your computer.
[5M | Apply | 2 (Average)] Consider the concept of aggregation in the Extended ER model. How might this be useful in structuring data for a collaborative project you’ve worked on?
[5M | Understand | 1 (Easy)] How would understanding the structure of a relational database help you make better use of tools like Excel or Google Sheets?
[5M | Analyze | 2 (Average)] Reflect on the use of relationships in organizing data. How do personal or professional relationships in your life mirror these database concepts?
[10M | Analyze | 3] Consider the following relational database:                                             Employee (employee-name, street, city)                                                Works (employee-name, company-name, salary)                                  Company (company-name, city)                                                        Manages (employee-name, manager-name)                                            Draw the ER diagram.
[10M | Analyze | 3] Consider an Airline Reservation System
a. Draw E-R diagram. Assume suitable data
b. Convert the E-R diagram into Relational Model
[10M | Analyze | 3] Draw the ER diagram of Online Railway Ticket reservation system.
[10M | Analyze | 3] Emerging Electric wishes to create a database with the following entities and attributes: 
a) Customer, with attributes Customer ID, Name, Address (Street, City, State, Zip Code), and Telephone 
b) Location, with attributes Location ID, Address (Street, City, State, Zip Code), and Type (values of Business or Residential) 
c) Rate, with attributes Rate Class and Rate Per KWH 
After interviews with the owners, you have come up with the following business rules: i) Customers can have one or more locations. ii) Each location can have one or more rates, depending on the time of day. 

Draw an ERD for this situation and place minimum and maximum cardinalities on the diagram. State any assumptions that you have made
[10M | Analyze | 3] Suppose you are given the following requirements for a simple database of the National Cricket Trophy (NCT): 

• the NCT has many teams, • each team has a name, a city, a coach, a captain, and a set of players, • each player belongs to only one team, • each player has a name, a position (such as left wing or goalie), a skill level, • and a set of injury records, • a team captain is also a player, • a game is played between two teams (referred to as host team and guest team) and has a date (such as May 11th, 1999) and a score. 

Construct ER diagram for the NCT database.
[10M | Understand | 2] Explain how an ER diagram can be converted to relations.
[10M | Analyze | 3] Draw EER diagram for Hospital Management System showing constraints on generalization and specialization.
[10M | Apply | 2 (Average)] Draw an ER diagram for a library management system.
[10M | Analyze | 3 (Difficult)] Explain the concept of generalization and specialization in an EER diagram with examples.
[10M | Apply | 3 (Difficult)] Map the given ER diagram into a relational database. Provide step-by-step details.
[10M | Evaluate | 3 (Difficult)] Using a case study of an online shopping database, explain the role of primary and foreign keys.
[10M | Apply | 3 (Difficult)] Describe how specialization and generalization are mapped to a relational database.
[10M | Create | 3 (Difficult)] Design an ER diagram for a hospital management system and convert it into a relational model.
[10M | Evaluate | 3 (Difficult)] Discuss why mapping ER diagrams to relational models sometimes leads to loss of information.
[10M | Create | 3 (Difficult)] What challenges arise when trying to generalize or specialize entities in a real-life scenario?
[10M | Analyze | 3 (Difficult)] Can every ER model be directly translated into a relational model? Identify scenarios where this fails.
[10M | Evaluate | 3 (Difficult)] Evaluate the relevance of Codd’s rules in modern database systems. Are all the rules still valid?
[10M | Evaluate | 3 (Difficult)] Is normalization a universal solution for relational database design? Discuss scenarios where it may fail.
[10M | Evaluate | 3 (Difficult)] Critique the use of EER models in systems that require high scalability. Are there better alternatives?
[10M | Evaluate | 3 (Difficult)] Do all entities in a real-life problem need to be modeled? Discuss scenarios where this may not be true.
[10M | Analyze | 3 (Difficult)] Why is normalization a recommended step in relational database design? Provide examples to support your answer.
[10M | Evaluate | 3 (Difficult)] Discuss the evidence that supports the importance of Codd’s rules in ensuring database consistency.
